BusinessShortNumber,BusinessNumber,IdBill,einigungskonferenz,einigungskonferenz_ang,LegislativePeriodNumber,rounds,diff,DepartmentAbbreviation,DepartmentName,year,pol_diff,lsq,party_pol
10.026,20100026,99902a20-d489-4512-b741-44e7368da70c,0,NA,48,3,1,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.026,20100026,a609f3c0-e703-4668-a39a-42245266508b,0,NA,48,3,1,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.027,20100027,b592e330-747b-4e9f-a021-95fa05481d83,0,NA,48,2,0,VBS,"Departement für Verteidigung, Bevölkerungsschutz und Sport",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.028,20100028,5f81b016-b6cf-4f37-82cc-ff84baae4335,0,NA,48,2,0,VBS,"Departement für Verteidigung, Bevölkerungsschutz und Sport",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.028,20100028,b468e862-66df-457b-80d9-d5969406c732,0,NA,48,5,3,VBS,"Departement für Verteidigung, Bevölkerungsschutz und Sport",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.030,20100030,be6a6ff5-15db-4bb0-8736-136c68b5e0d4,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.031,20100031,9464a6d1-562b-47d7-98b4-069744f14f98,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.032,20100032,ce414154-ea45-4003-8558-5a67e0d633cd,0,NA,48,4,2,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.033,20100033,08dd15c9-3bc9-43b2-8701-a600a8d8d43b,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.034,20100034,824dc124-a50e-480a-b71e-ad3241adb79d,0,NA,48,2,0,EDA,Departement für auswärtige Angelegenheiten,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.035,20100035,8a745540-0b39-42ae-87f6-c704798ded54,0,NA,48,2,0,VBS,"Departement für Verteidigung, Bevölkerungsschutz und Sport",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.036,20100036,c61cf1d5-dcc3-49e1-8b6d-8e58ea85f745,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.037,20100037,00fbff13-48bf-448c-a42e-4c2a417b6569,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.039,20100039,9da3e470-0871-45ca-94a6-d454b00bb089,0,NA,48,2,0,EDA,Departement für auswärtige Angelegenheiten,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.040,20100040,343033f3-4e88-4a33-869e-9cb06e1b3baf,0,NA,48,3,1,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.041,20100041,86dee4d1-e299-4db9-b730-ea45370fe035,0,NA,48,6,4,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.041,20100041,86f9553b-1781-4bd8-85b1-1b5309160227,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.041,20100041,8ada3cbf-dee0-4511-b011-bbe06a8146d6,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.041,20100041,d8bcb92b-5af2-400d-900d-1c8e76f30593,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.041,20100041,e93b3df5-476b-4331-9bc9-4cc9291ec839,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.042,20100042,ae9cab64-d600-4b07-beaa-bb5750812ddc,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.042,20100042,e24135c8-8cbd-4c30-9d81-793f543d8802,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.047,20100047,47062c9e-a0b7-4c56-8092-8fb762d75667,0,NA,48,2,0,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.048,20100048,e1e5b39e-51c5-48fa-b0f9-8c566f5d7432,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.049,20100049,3d959c86-a0dd-4f95-a9bc-db75b9dca1e4,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.049,20100049,ae118dac-296b-4219-9f68-47af99c0c816,0,NA,49,5,3,EFD,Finanzdepartement,2011,0.192964824120603,0.1709247800851348,2.833333333333333
10.049,20100049,e655f849-69fe-4b37-8be9-7cedebc44e3a,0,NA,48,4,2,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.052,20100052,49680d0a-d236-4987-a770-5d40bda5d250,0,NA,49,6,4,EJPD,Justiz- und Polizeidepartement,2011,0.192964824120603,0.1709247800851348,2.833333333333333
10.052,20100052,852602c4-58c5-427e-95a0-a06f008b530e,1,1,49,7,5,EJPD,Justiz- und Polizeidepartement,2011,0.192964824120603,0.1709247800851348,2.833333333333333
10.053,20100053,ae8cd18f-8380-49b1-9d5f-9303b4138216,0,NA,48,2,0,EDA,Departement für auswärtige Angelegenheiten,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.055,20100055,dc544325-27d5-43c5-9296-b5611119fa3a,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.056,20100056,5b592a41-83bf-4000-a764-e8242d8ec55c,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.057,20100057,b5176b39-01cd-4434-9515-f4744131edc5,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.058,20100058,ce7c3113-91c7-4a6b-806a-0dd9f846c110,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.060,20100060,1a5c7a36-b525-403d-a0df-b9284ab12f63,0,NA,49,3,1,EFD,Finanzdepartement,2011,0.192964824120603,0.1709247800851348,2.833333333333333
10.061,20100061,250fa4f0-de3e-425a-b384-1d7f01408521,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.061,20100061,45a54fb3-3c2d-4b20-bb0d-a5a66559fcb2,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.061,20100061,9c7e4654-7f1e-4bbe-afe2-37b67fce32c2,0,NA,48,3,1,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.061,20100061,f9428c0a-e129-447a-bd16-328d78f3e517,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.062,20100062,04139220-fc41-48c1-9592-d37fa4a5907d,0,NA,48,2,0,UVEK,"Departement für Umwelt, Verkehr, Energie und Kommunikation",2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.063,20100063,43396cc1-a06a-461d-a126-5f99cb88c75a,0,NA,48,2,0,EJPD,Justiz- und Polizeidepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.064,20100064,6dd32457-849d-4d4f-8a52-052d190f4b3a,0,NA,48,3,1,EVD,Volkswirtschaftsdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.065,20100065,4a1b9541-f05b-4db8-846b-c62c0a463aa1,0,NA,48,2,0,EDI,Departement des Innern,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.066,20100066,16c18343-ae16-49de-a297-3157d2dcdfde,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.067,20100067,a611dd6f-30c1-4382-b3a7-58c7f1093e7b,0,NA,48,2,0,EVD,Volkswirtschaftsdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.068,20100068,ba6d9096-6acf-44b9-8023-da042385702d,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.069,20100069,efd35b38-06c8-4b86-b345-a80f4245b1ce,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.070,20100070,2b63516c-ab65-4826-8857-b8f8493eb50a,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
10.071,20100071,e60cf8f6-d2cb-479e-8cf4-a89fe92413b6,0,NA,48,2,0,EFD,Finanzdepartement,2007,0.27369565217391306,0.186316459958367,2.1666666666666665
